timestamp,container,cpu_percent,mem_usage
2026-06-10 18:30:58,docker-ragflow-cpu-1,2.70%,5.988GiB / 11.67GiB
2026-06-10 18:31:30,docker-ragflow-cpu-1,283.74%,6.088GiB / 11.67GiB
2026-06-10 18:32:06,docker-ragflow-cpu-1,251.70%,6.113GiB / 11.67GiB
2026-06-10 18:32:43,docker-ragflow-cpu-1,461.66%,6.093GiB / 11.67GiB
2026-06-10 18:33:15,docker-ragflow-cpu-1,397.38%,6.118GiB / 11.67GiB
2026-06-10 18:33:47,docker-ragflow-cpu-1,524.11%,6.125GiB / 11.67GiB
2026-06-10 18:34:19,docker-ragflow-cpu-1,240.98%,6.181GiB / 11.67GiB
2026-06-10 18:34:54,docker-ragflow-cpu-1,161.27%,6.17GiB / 11.67GiB
2026-06-10 18:35:26,docker-ragflow-cpu-1,414.93%,6.17GiB / 11.67GiB
2026-06-10 18:36:00,docker-ragflow-cpu-1,2.94%,6.171GiB / 11.67GiB
2026-06-10 18:36:32,docker-ragflow-cpu-1,311.61%,6.171GiB / 11.67GiB
2026-06-10 18:37:03,docker-ragflow-cpu-1,506.25%,6.177GiB / 11.67GiB
2026-06-10 18:37:35,docker-ragflow-cpu-1,544.33%,6.184GiB / 11.67GiB
2026-06-10 18:38:07,docker-ragflow-cpu-1,294.63%,6.212GiB / 11.67GiB
2026-06-10 18:38:39,docker-ragflow-cpu-1,217.35%,6.18GiB / 11.67GiB
2026-06-10 18:39:14,docker-ragflow-cpu-1,446.99%,6.179GiB / 11.67GiB
2026-06-10 18:39:47,docker-ragflow-cpu-1,413.07%,6.16GiB / 11.67GiB
2026-06-10 18:40:19,docker-ragflow-cpu-1,555.08%,6.165GiB / 11.67GiB
2026-06-10 18:40:52,docker-ragflow-cpu-1,502.61%,6.191GiB / 11.67GiB
2026-06-10 18:41:25,docker-ragflow-cpu-1,34.63%,6.191GiB / 11.67GiB
